-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: latitude  -9.505   longitude -77.49 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3947.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W m-2) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (W m-2) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,WS2M,ALLSKY_SFC_LW_DWN,T2M_MAX,CLRSKY_SFC_SW_DWN,CLOUD_AMT,QV2M,RH2M,T2M_MIN,T2MDEW,TS,T2M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
1990,1,1,1.76,289.72,17.5,343.98,59.3,6.9,67.51,3.17,1.83,11.79,8.51,254.75,0.31
1990,1,2,1.52,303.77,17.0,340.17,78.4,6.43,61.18,2.84,0.75,12.29,8.67,263.99,0.13
1990,1,3,1.83,310.26,15.62,349.72,95.2,7.28,71.1,3.83,2.6,10.96,7.91,228.31,0.08
1990,1,4,1.39,305.74,13.97,347.5,85.5,6.96,69.95,3.19,1.94,10.07,7.37,222.78,0.29
1990,1,5,1.53,307.37,15.85,355.8,93.1,6.17,60.47,2.62,0.09,10.66,7.82,194.92,0.02
1990,1,6,2.01,297.36,15.4,356.05,83.1,7.26,69.01,3.09,2.53,11.91,8.42,200.19,0.0
1990,1,7,1.91,299.64,16.43,355.79,90.7,7.09,70.32,3.03,2.22,11.26,7.93,200.06,0.24
1990,1,8,2.13,293.66,14.2,353.91,76.5,7.02,77.61,2.41,2.06,8.98,6.0,217.97,0.85
1990,1,9,2.03,310.96,14.99,363.1,92.9,6.85,74.91,2.23,1.7,9.54,6.32,203.66,0.68
1990,1,10,2.32,305.82,15.54,352.42,83.9,6.9,72.51,1.91,1.8,10.27,6.94,191.93,1.44
1990,1,11,1.99,305.94,16.89,334.29,91.1,6.66,68.56,1.84,1.26,11.0,7.48,228.22,2.85
1990,1,12,2.07,318.84,17.05,354.14,93.1,6.59,66.61,1.91,1.11,11.14,7.74,185.67,0.36
1990,1,13,1.83,314.09,14.51,349.03,97.7,6.8,74.2,1.7,1.6,9.33,6.42,167.23,1.34
1990,1,14,1.74,300.48,14.78,340.66,91.9,7.05,75.15,1.57,2.1,9.51,6.71,163.08,8.71
1990,1,15,1.1,308.65,15.44,345.76,74.9,7.43,71.74,3.17,2.87,11.11,8.4,228.85,5.99
1990,1,16,1.6,313.2,14.75,348.96,98.4,7.07,73.27,1.59,2.17,9.74,7.27,199.76,0.24
1990,1,17,2.23,304.85,16.4,356.06,95.2,6.73,69.98,2.58,1.46,10.64,7.18,179.65,0.11
1990,1,18,1.85,301.48,13.03,356.55,82.7,7.08,71.99,2.9,2.1,9.19,7.07,184.02,1.15
1990,1,19,1.57,290.04,14.39,350.75,99.9,6.77,68.05,2.92,1.55,10.81,7.65,145.38,0.29
1990,1,20,1.97,295.46,15.41,354.85,88.3,6.58,67.83,2.94,1.17,10.32,7.35,224.85,0.07
1990,1,21,1.84,298.45,17.44,347.67,71.9,6.96,64.08,2.51,1.88,13.37,9.43,252.84,0.04
1990,1,22,1.74,275.9,16.5,353.51,50.3,7.31,69.59,3.24,2.62,12.52,8.51,301.12,0.01
1990,1,23,2.43,275.86,16.74,352.65,52.4,6.4,65.64,2.62,0.74,11.31,7.6,287.49,0.14
1990,1,24,2.32,303.73,14.73,339.34,74.5,6.62,69.18,2.16,1.18,10.41,6.91,235.35,0.66
1990,1,25,1.85,282.88,18.19,356.18,66.1,6.75,64.92,1.2,1.48,12.51,8.68,288.24,0.48
1990,1,26,1.69,313.63,17.86,338.46,81.5,6.79,62.26,2.2,1.57,13.11,9.21,243.5,0.84
1990,1,27,1.34,284.27,18.14,345.27,57.9,7.3,66.75,1.53,2.55,12.86,9.34,295.58,9.41
1990,1,28,1.61,302.63,17.58,353.16,75.5,7.62,66.75,3.73,3.19,13.28,9.93,234.47,2.17
1990,1,29,1.55,312.42,17.53,335.16,75.0,7.97,69.78,5.26,3.85,12.96,9.57,210.43,0.22
1990,1,30,1.45,310.91,16.14,342.26,77.2,6.89,67.11,3.01,1.66,11.42,7.97,251.94,0.4
1990,1,31,1.57,313.49,18.11,351.41,83.7,7.42,66.58,2.64,2.76,12.51,9.45,238.47,1.6
1990,2,1,1.71,303.7,15.33,352.56,72.4,7.98,72.88,4.5,3.86,11.55,8.91,251.8,10.17
1990,2,2,1.86,305.76,19.03,346.27,71.8,7.15,65.9,3.02,2.26,12.55,9.38,241.02,3.66
1990,2,3,1.2,320.83,17.17,348.64,88.7,7.38,67.32,3.22,2.81,12.87,9.28,215.85,0.07
1990,2,4,1.37,303.91,17.34,351.24,65.3,6.92,61.92,3.61,1.87,13.28,9.81,221.36,0.3
1990,2,5,1.92,299.06,17.84,348.2,62.7,7.02,64.67,2.93,2.05,12.41,9.41,244.52,4.84
1990,2,6,1.41,298.5,18.37,343.87,64.8,7.01,65.51,1.01,1.99,13.6,9.33,240.76,1.0
1990,2,7,2.21,310.98,18.1,333.75,78.2,7.05,66.29,2.57,2.08,12.88,8.8,246.42,0.76
1990,2,8,1.85,306.18,18.31,351.55,69.4,7.0,65.0,1.95,1.99,12.73,9.12,257.97,0.07
1990,2,9,1.98,291.63,17.76,337.67,57.4,7.19,63.13,3.88,2.41,13.05,9.63,288.58,0.01
1990,2,10,1.73,272.85,18.92,345.89,48.4,7.07,62.6,1.67,2.05,12.82,9.84,303.13,0.93
1990,2,11,1.5,290.87,18.49,346.31,50.8,8.16,71.42,4.13,4.17,12.69,10.04,279.63,8.78
1990,2,12,1.81,315.09,17.85,337.13,83.5,7.42,69.44,2.91,2.86,12.3,8.97,208.68,1.72
1990,2,13,1.87,319.2,12.89,335.69,96.8,7.0,71.17,2.42,2.03,9.85,7.3,177.6,0.06
1990,2,14,2.04,325.27,15.86,336.67,99.5,6.97,71.06,2.18,1.94,11.46,7.54,167.25,0.5
1990,2,15,1.79,311.57,13.75,335.72,98.9,6.73,74.85,2.13,1.47,8.95,6.0,169.94,1.27
1990,2,16,1.84,311.35,16.58,331.76,98.1,6.85,66.49,2.77,1.69,11.28,8.49,162.86,0.11
1990,2,17,2.51,296.61,16.67,335.38,59.0,6.99,68.75,2.37,1.97,11.62,8.64,269.11,0.0
1990,2,18,2.81,280.45,16.86,337.26,55.5,6.42,65.61,1.47,0.67,11.66,8.22,277.84,0.02
1990,2,19,1.95,279.55,16.85,338.53,50.5,5.85,61.79,1.01,-0.79,10.54,8.1,280.47,0.01
1990,2,20,1.73,277.03,15.94,338.44,55.6,7.06,70.08,4.0,2.17,10.97,8.11,287.12,1.03
1990,2,21,1.36,280.69,14.92,346.07,47.3,7.0,74.56,2.78,2.07,9.69,6.7,304.16,0.41
1990,2,22,1.73,301.85,15.12,337.78,99.9,7.08,73.84,2.3,2.18,10.0,7.07,187.72,0.55
1990,2,23,1.85,298.0,16.16,328.32,99.7,7.09,71.76,1.92,2.18,10.17,7.65,172.59,0.01
1990,2,24,1.66,302.48,13.46,324.74,86.8,6.99,71.18,2.37,1.98,9.61,7.36,172.85,0.01
1990,2,25,1.21,304.72,10.07,326.32,99.9,7.26,80.06,3.39,2.59,7.97,5.94,134.01,0.0
1990,2,26,1.33,292.15,15.45,325.62,99.9,6.72,74.47,2.16,1.48,9.43,6.37,144.45,0.04
1990,2,27,2.01,306.09,12.86,326.06,65.6,6.67,74.03,1.18,1.31,8.72,5.98,216.84,0.31
1990,2,28,1.94,305.57,16.95,319.76,62.4,6.62,67.42,2.52,1.23,10.49,7.88,250.39,0.02
1990,3,1,1.9,302.25,17.36,331.55,81.0,6.26,62.03,2.95,0.39,11.03,8.2,249.6,0.0
1990,3,2,1.54,308.08,11.99,327.33,99.9,6.92,76.59,2.0,1.9,7.89,6.05,175.37,0.07
1990,3,3,1.07,311.51,14.59,323.85,74.3,6.82,70.25,1.96,1.69,10.51,7.52,248.97,0.18
1990,3,4,1.23,315.13,16.47,321.79,90.3,6.82,67.66,1.35,1.64,11.38,8.11,175.12,0.03
1990,3,5,1.5,318.05,18.09,325.56,87.0,7.01,69.79,1.13,2.04,11.67,8.39,187.4,0.12
1990,3,6,1.85,313.53,14.07,325.6,77.2,6.6,67.86,2.2,1.21,9.2,7.21,227.41,0.12
1990,3,7,1.61,322.15,16.5,326.87,98.9,6.97,67.08,4.12,1.98,11.11,8.42,171.32,0.65
1990,3,8,1.42,311.04,13.22,324.8,67.3,6.53,67.49,2.78,1.12,9.34,7.11,243.23,0.14
1990,3,9,1.63,300.2,17.04,325.29,68.0,6.84,65.76,1.54,1.73,11.67,8.72,257.71,0.01
1990,3,10,1.7,295.45,18.8,327.43,64.3,6.75,62.3,2.03,1.53,13.22,9.73,259.79,0.09
1990,3,11,1.36,299.18,18.57,325.81,64.3,6.97,63.96,2.13,1.99,13.26,9.6,265.92,0.61
1990,3,12,1.39,314.97,18.05,323.85,86.4,6.91,63.45,2.08,1.86,13.18,9.48,207.53,0.29
1990,3,13,1.41,312.05,18.54,325.68,79.1,6.77,61.27,1.99,1.57,13.62,9.74,231.85,0.04
1990,3,14,1.12,309.83,18.7,322.27,74.1,7.03,63.42,1.84,2.04,13.79,9.84,241.49,0.09
1990,3,15,1.26,304.4,18.02,325.3,61.3,7.61,67.19,3.81,3.18,13.16,9.88,260.88,0.79
1990,3,16,1.16,314.92,18.67,324.89,88.1,7.11,65.52,2.85,2.2,13.59,9.62,186.59,0.16
1990,3,17,1.72,321.56,14.61,319.62,90.3,6.83,68.97,2.35,1.68,10.92,7.57,209.5,0.03
1990,3,18,1.55,312.89,15.93,323.72,82.6,7.02,68.54,2.63,2.06,11.62,8.16,215.91,2.89
1990,3,19,2.12,313.49,16.86,320.42,83.3,6.98,68.16,1.75,1.94,11.21,8.08,200.74,3.59
1990,3,20,1.89,310.42,16.78,323.22,86.9,6.84,70.12,2.27,1.67,10.35,7.41,201.35,1.81
1990,3,21,1.95,309.21,16.67,321.41,76.5,6.8,70.2,2.21,1.6,10.64,7.29,209.2,0.13
1990,3,22,1.42,320.34,14.32,318.5,87.3,7.31,70.4,3.06,2.65,10.24,8.23,190.92,0.2
1990,3,23,1.3,308.88,16.99,315.38,81.9,6.53,61.27,1.98,1.1,12.11,9.26,205.58,0.04
1990,3,24,1.14,302.24,17.84,315.61,79.5,7.06,64.26,1.23,2.1,12.77,9.54,209.98,0.09
